gridcode;year;nitrate;rainfall;oxygen;area;emission;stockage;grass;vegetableG1;vegetableG2;vegetableG3;catchcrop;norm_N;deposition
8100;2011;15.9;35.06497375;71.9;0.873531968;0.006156662;-0.000169348;0.367393984;0;0.030988043;0.032730086;yes;0.021988235;0.003042431
8100;2012;15.5;111.8977778;56.4;0.853241443;0.005567829;0.000770843;0.43988241;0;0.050846098;0;yes;0.023906309;0.003065629
8100;2013;13.1;133.5742143;75.4;0.859775573;0.002834402;-0.000534768;0.371621615;0;0.012149474;0.032871552;no;0.020345031;0.002668935
8110;2008;2.8;134.88125;0;0.857615038;0.003699855;0.000173439;0.500227582;0;0;0;no;0.027971397;0.002444676
8110;2009;0.8;101.9716364;0;0.863786742;0.003706835;-0.000235313;0.520552708;0;0;0;yes;0.029293576;0.002155056
8110;2010;0.42;196.9782895;0;0.863742791;0.003870437;-0.000349631;0.524170304;0;0;0;yes;0.028587857;0.001975605
8110;2011;1.57;181.1325893;0;0.868446835;0.003952863;-0.000240169;0.52810952;0;0;0;no;0.027482328;0.002111925
8110;2012;1.38;142.3970833;0;0.86593073;0.003737945;0.000341457;0.489271129;0;0.005858703;0;no;0.026315461;0.002089006
8110;2013;0.52;56.66746753;0;0.863391887;0.003829629;0.000535522;0.488615192;0;0.000443104;0;no;0.02593078;0.001832439
8150;2008;4.6;134.88125;0;0.890960157;0.002608237;0.000570169;0.430921266;0;0;0;no;0.026760884;0.002995573
8150;2009;0.96;31.80642857;0;0.778432985;0.002031573;7.45E-05;0.361963891;0;0;0;no;0.023891519;0.003048516
8150;2010;1.7;196.9782895;0;0.872601167;0.002257035;-0.001307891;0.438470437;0;0;0;no;0.02590491;0.002509798
8150;2011;4.2;181.1325893;0;0.887238884;0.002703095;0.002489672;0.465757185;0;0;0;no;0.02430291;0.00267982
8150;2012;4.2;142.3970833;0;0.884940754;0.002591872;-0.000445585;0.446655086;0;0.048196366;0;no;0.025588057;0.002650588
8150;2013;2.8;56.66746753;0;0.880586256;0.002586417;0.001055797;0.469955341;0;0;0;yes;0.024869814;0.00234329
9850;2008;13;84.60707143;50.5;0.81613827;0.00572119;0.000931673;0.298805527;0;0;0;yes;0.026331372;0.003070422
9850;2009;14.2;168.47;61.7;0.814540698;0.004007134;0.000462184;0.254173865;0;0;0;no;0.024800759;0.002723624
9850;2010;9.8;235.4825;29.1;0.803213339;0.004126183;-0.00098153;0.255152973;0;0;0;yes;0.02412019;0.002494798
9850;2011;9.3;51.40928571;77.5;0.803290982;0.003698025;-0.000104913;0.228649312;0;0.014588871;0;no;0.024718121;0.002864746
9850;2012;8;88.91491667;51.7;0.811196595;0.004993369;-0.000258664;0.258556395;0;0;0.017629694;yes;0.024476491;0.002793751
9850;2013;12;115.5056667;35.7;0.795299758;0.004489151;0.000533909;0.248737804;0;0;0.04315852;yes;0.025196106;0.002477479
9905;2008;6.4;121.7546389;36.9;0.816824651;0.005405052;0.000251343;0.38886408;0;0;0;yes;0.027093004;0.003533843
9905;2009;7.6;168.47;51.6;0.80761788;0.003809387;-0.000291672;0.410216731;0;0;0;yes;0.02695347;0.003161995
9905;2010;4.1;78.95041667;39;0.80612981;0.00388285;-0.000433575;0.397818466;0;0;0;yes;0.027111774;0.002825334
9905;2011;4.1;49.17819048;52.5;0.805302447;0.004354072;-0.00062242;0.377780244;0;0.019779892;0.008877479;yes;0.02470015;0.00324119
