PointId;year;nitrate;oxygen;pigsmanure;totalnitrogen;grass;vegetables;catchcrop;follow crop;norm
8100;2010;21.17386366;91.2980573;0.00721708;0.022552957;0.391879369;0;no;0.869743833;0.02452673
8100;2011;18.20196693;82.30952341;0.007322703;0.020099388;0.367393984;0;no;0.835542662;0.021988235
8100;2012;18.16601869;66.10086799;0.00387886;0.020703422;0.43988241;0;no;0.779685568;0.023906309
8100;2013;15.23653428;87.6973042;0.0029185;0.019259016;0.371621615;0;no;0.840064326;0.020345031
8100;2014;14.04722594;76.04076851;0.002700724;0.019215312;0.356963647;0;no;0.724334288;0.020165746
8110;2007;3.226609155;0;0.00595614;0.020541744;0.527620955;0;no;1;0.028972046
8110;2008;3.264868122;0;0.005908804;0.021126561;0.500227582;0;no;0.960757473;0.027971397
8110;2009;0.926154525;0;0.006348741;0.02138077;0.520552708;0;no;0.985966689;0.029293576
8110;2010;0.486255867;0;0.006775202;0.021482951;0.524170304;0;no;1;0.028587857
8110;2011;1.807825117;0;0.007283625;0.021689092;0.52810952;0;no;0.913416581;0.027482328
8110;2012;1.593660963;0;0.007004817;0.02090154;0.489271129;0;no;0.838292824;0.026315461
8110;2013;0.602275754;0;0.006527668;0.022158259;0.488615192;0;no;0.857567917;0.02593078
8150;2007;6.055004351;0;0.000376615;0.013906306;0.459211651;0;no;1;0.027508526
8150;2008;5.162969368;0;0.00020702;0.023321579;0.430921266;0;no;0.899460648;0.026760884
8150;2009;1.233246816;0;0.000198996;0.017693011;0.361963891;0;no;0.860502159;0.023891519
8150;2010;1.948198174;0;7.79E-05;0.017597022;0.438470437;0;no;0.972440574;0.02590491
8150;2011;4.733787119;0;0.000452183;0.020389839;0.465757185;0;no;0.906557911;0.02430291
8150;2012;4.746080435;0;0.000221043;0.018329575;0.446655086;0;no;0.658322422;0.025588057
8150;2013;3.179699867;0;0.00032503;0.018989117;0.469955341;0;no;0.879451673;0.024869814
8150;2014;2.741096655;0;0.000108935;0.019451854;0.399753902;0;no;0.960357905;0.023286573
9850;2007;16.23890487;46.34333621;0.015929507;0.022763813;0.232364633;0;no;1;0.026805092
9850;2008;15.92867345;61.87676994;0.015971374;0.021167568;0.298805527;0;no;0.879086268;0.026331372
9850;2009;17.43313752;75.74821022;0.009613921;0.019550633;0.254173865;0;no;1;0.024800759
9850;2010;12.20099259;36.229478;0.010796012;0.019345925;0.255152973;0;no;0.962738044;0.02412019
9850;2011;11.57737383;96.47811528;0.009275837;0.018529036;0.228649312;0;no;0.82929715;0.024718121
9850;2012;9.861974337;63.73300915;0.012816287;0.02234108;0.258556395;0;no;0.690847484;0.024476491
9850;2013;15.08865038;44.88873488;0.009596399;0.019845676;0.248737804;0;no;0.908251887;0.025196106
9850;2014;9.208070042;146.5825204;0.008455969;0.019691982;0.237904711;0;no;0.79332669;0.022938278
9905;2007;12.21160553;32.44093187;0.004618527;0.021013239;0.403178237;0;no;1;0.028157544
9905;2008;7.83521897;45.17493437;0.004372437;0.019282909;0.38886408;0;no;0.814931324;0.027093004
